ADM4_PCODE,Barangay,DC_2010,DC_2011,DC_2012,DC_2013,DC_2014,DC_2015,DC_2016,DC_2017,DC_2018,DC_2019,DC_2020,DC_2021,DC_2022,DC_2023,DC_2024,DC_2025,DC_Mean
PH1307404105,Santa Lucia,83,115,63,73,18,116,32,68,67,84,11,17,21,28,56,115,60.4375
PH1307404106,Santa Monica,99,203,198,93,23,164,41,76,82,120,18,17,35,65,69,97,87.5
PH1307404107,Santa Teresita,19,56,54,30,8,25,15,22,15,36,3,6,12,16,19,32,23
PH1307404108,Santo Cristo,33,27,42,23,9,20,15,38,12,25,2,5,37,30,34,47,24.9375
PH1307404065,Santo Domingo (Matalahib),20,43,35,34,17,24,26,46,21,44,5,12,22,21,50,53,29.5625
PH1307404109,Santo Nino,16,21,9,8,9,12,16,7,9,22,1,5,13,16,61,62,17.9375
PH1307404110,Santol,53,26,25,22,13,27,23,34,24,37,8,4,5,16,35,37,24.3125
PH1307404111,Sauyo,165,212,275,192,63,206,96,151,118,247,27,38,78,74,231,209,148.875
PH1307404112,Sienna,10,12,6,6,1,7,5,3,10,6,2,,4,2,5,7,5.733333333
PH1307404113,Sikatuna Village,27,45,26,32,17,32,15,20,34,32,4,7,12,29,39,18,24.3125
PH1307404114,Silangan,10,20,23,22,4,11,30,24,29,32,5,1,12,15,14,17,16.8125
PH1307404115,Socorro,60,55,52,68,19,59,36,53,49,147,32,23,30,45,78,72,54.875
PH1307404116,South Triangle,21,39,43,32,28,33,28,40,81,47,11,6,37,27,33,28,33.375
PH1307404117,Tagumpay,3,15,3,18,8,5,2,9,35,20,2,1,6,10,12,22,10.6875
PH1307404118,Talayan,3,25,21,22,6,7,11,12,18,31,2,,12,8,25,23,15.06666667
PH1307404119,Talipapa,129,139,133,65,47,123,95,108,64,141,22,19,67,61,133,80,89.125
PH1307404120,Tandang Sora,147,237,260,285,135,281,185,341,229,425,38,63,158,163,196,246,211.8125
PH1307404121,Tatalon,93,153,120,110,53,81,141,316,272,296,43,70,145,199,247,368,169.1875
PH1307404122,Teachers Village East,9,9,24,22,3,16,12,19,26,53,4,2,3,13,13,12,15
PH1307404123,Teachers Village West,11,8,5,1,,9,5,5,5,28,3,1,8,8,6,3,7.066666667
PH1307404124,U.P. Campus,36,65,63,62,21,58,44,64,110,210,40,21,38,66,167,154,76.1875
PH1307404125,U.P. Village,20,32,24,23,18,20,17,22,20,32,9,2,13,8,10,6,17.25
PH1307404126,Ugong Norte,7,5,22,10,2,14,10,7,7,13,3,8,10,6,4,11,8.6875
PH1307404127,Unang Sigaw,11,8,16,5,5,7,15,12,19,7,,2,7,19,13,74,14.66666667
PH1307404128,Valencia,11,9,17,19,2,8,16,17,32,25,5,11,12,13,17,26,15
PH1307404129,Vasra,16,13,56,23,6,16,19,22,53,67,5,1,24,23,28,36,25.5
PH1307404130,Veterans Village,26,42,67,49,21,60,36,29,70,49,9,12,38,23,33,45,38.0625
PH1307404131,Villa Maria Clara,4,5,6,2,1,3,1,4,8,7,7,2,6,12,14,8,5.625
PH1307404132,West Kamias,14,15,16,16,6,17,17,24,26,36,4,4,16,17,10,21,16.1875
PH1307404133,West Triangle,14,7,30,28,6,13,7,10,17,11,2,10,7,3,5,7,11.0625
PH1307404134,White Plains,10,9,7,13,11,13,2,5,7,10,3,2,9,6,9,7,7.6875
